Exchange,Symbol,Shortname,Longname,Sector,Industry,Currentprice,Marketcap,Ebitda,Revenuegrowth,City,State,Country,Fulltimeemployees,Longbusinesssummary,Weight
NYQ,OTIS,Otis Worldwide Corporation,Otis Worldwide Corporation,Industrials,Specialty Industrial Machinery,78.82,32835307520,2308999936,-0.076,Farmington,CT,United States,68000,"Otis Worldwide Corporation manufactures, installs, and services elevators and escalators in the United States, China, and internationally. The company operates in two segments, New Equipment and Service. The New Equipment segment designs, manufactures, sells, and installs a range of passenger and freight elevators, as well as escalators and moving walkways for residential and commercial buildings, and infrastructure projects. The Service segment performs maintenance and repair services, as well as modernization services to upgrade elevators and escalators. It had a network of approximately 34,000 service mechanics operating approximately 1,400 branches and offices. The company was founded in 1853 and is headquartered in Farmington, Connecticut.",0.018091457161207455
NYQ,AME,"AMETEK, Inc.","AMETEK, Inc.",Industrials,Specialty Industrial Machinery,140.94,32367435776,1775334016,0.077,Berwyn,PA,United States,18500,"AMETEK, Inc. manufactures and sells electronic instruments and electromechanical devices worldwide. It operates in two segments, Electronic Instruments (EIG) and Electromechanical (EMG). The company's EIG segment offers advanced instruments for the process, aerospace, power, and industrial markets; process and analytical instruments for the oil and gas, petrochemical, pharmaceutical, semiconductor, automation, and food and beverage industries; and instruments to the laboratory equipment, ultra-precision manufacturing, medical, and test and measurement markets. This segment also provides power quality monitoring and metering devices, uninterruptible power supplies, programmable power equipment, electromagnetic compatibility test equipment, gas turbines, and environmental health and safety market sensors, dashboard instruments for heavy trucks and other vehicles, and instrumentation and controls for the food and beverage industries; and aircraft and engine sensors, monitoring systems, power supplies, fuel and fluid measurement systems, and data acquisition systems for the aerospace industry. Its EMG segment offers engineered electrical connectors and electronics packaging to protect sensitive devices and mission-critical electronics; precision motion control products for data storage, medical devices, business equipment, automation, and other applications; high-purity powdered metals, strips and foils, specialty clad metals, and metal matrix composites; motor-blower systems and heat exchangers for use in thermal management, military, commercial aircraft, and military ground vehicles; and motors for use in commercial appliances, fitness equipment, food and beverage machines, hydraulic pumps, and industrial blowers. This segment also operates a network of aviation maintenance, repair, and overhaul facilities. In addition, the company offers clinical and educational communication solutions. AMETEK, Inc. was founded in 1930 and is headquartered in Berwyn, Pennsylvania.",0.017833671190774263
NYQ,RMD,ResMed Inc.,ResMed Inc.,Healthcare,Medical Instruments & Supplies,219.81,32198647808,1140359936,0.051,San Diego,CA,United States,8160,"ResMed Inc. develops, manufactures, distributes, and markets medical devices and cloud-based software applications for the healthcare markets. The company operates in two segments, Sleep and Respiratory Care, and Software as a Service. It offers various products and solutions for a range of respiratory disorders, including technologies to be applied in medical and consumer products, ventilation devices, diagnostic products, mask systems for use in the hospital and home, headgear and other accessories, dental devices, and cloud-based software informatics solutions to manage patient outcomes, as well as provides customer and business processes. The company also provides AirView, a cloud-based system that enables remote monitoring and changing of patients' device settings; myAir, a personalized therapy management application for patients with sleep apnea that provides support, education, and troubleshooting tools for increased patient engagement and improved compliance; U-Sleep, a compliance monitoring solution that enables home medical equipment (HME)to streamline their sleep programs; connectivity module and propeller solutions; and Propeller portal. It offers out-of-hospital software solution, such as Brightree business management software and service solutions to providers of HME, pharmacy, home infusion, orthotics, and prosthetics services; MatrixCare care management and related ancillary solutions to senior living, skilled nursing, life plan communities, home health, home care, and hospice organizations, as well as related accountable care organizations; and HEALTHCAREfirst that offers electronic health record, software, billing and coding services, and analytics for home health and hospice agencies. The company markets its products primarily to sleep clinics, home healthcare dealers, and hospitals through a network of distributors and direct sales force in approximately 140 countries. ResMed Inc. was founded in 1989 and is headquartered in San Diego, California.",0.017740673118789123
NMS,SBAC,SBA Communications Corporation,SBA Communications Corporation,Real Estate,REIT—Specialty,290.53,31367362560,1621538048,0.146,Boca Raton,FL,United States,1596,"SBA Communications Corporation is a first choice provider and leading owner and operator of wireless communications infrastructure in North, Central, and South America and South Africa. By Building Better Wireless, SBA generates revenue from two primary businesses  site leasing and site development services. The primary focus of the Company is the leasing of antenna space on its multi-tenant communication sites to a variety of wireless service providers under long-term lease contracts. For more information please visit: www.sbasite.com.",0.017282655131786097
NMS,CPRT,"Copart, Inc.","Copart, Inc.",Consumer Cyclical,Auto & Truck Dealerships,60.39,28763756544,1492477056,0.103,Dallas,TX,United States,9500,"Copart, Inc. provides online auctions and vehicle remarketing services in the United States, Canada, the United Kingdom, Brazil, the Republic of Ireland, Germany, Finland, the United Arab Emirates, Oman, Bahrain, and Spain. It offers a range of services for processing and selling vehicles over the internet through its virtual bidding third generation internet auction-style sales technology to vehicle sellers, insurance companies, banks and finance companies, charities, fleet operators, dealers, vehicle rental companies, and individuals. The company's services include online seller access, salvage estimation, estimating, end-of-life vehicle processing, transportation, vehicle inspection stations, on-demand reporting, title processing and procurement, loan payoff, flexible vehicle processing programs, buy it now, member network, sales process, and dealer services. Its services also comprise services to sell vehicles through CashForCars.com; Copart Recycling service, which allows the public to purchase parts from salvaged and end-of-life vehicles; copart 360, an online technology for posting vehicle images; membership tiers for those registering to buy vehicles through Copart.com; and virtual queue to secure a place in line while visiting one of its locations. The company sells its products principally to licensed vehicle dismantlers, rebuilders, repair licensees, used vehicle dealers, and exporters, as well as to the public. Copart, Inc. was incorporated in 1982 and is headquartered in Dallas, Texas.",0.015848131435778817
NMS,VRSK,"Verisk Analytics, Inc.","Verisk Analytics, Inc.",Industrials,Consulting Services,181.9,28446976000,1398099968,-0.018,Jersey City,NJ,United States,9367,"Verisk Analytics, Inc. provides data analytics solutions in the United States and internationally. The company provides predictive analytics and decision support solutions to customers in rating, underwriting, claims, catastrophe and weather risk, global risk analytics, natural resources intelligence, economic forecasting, commercial banking and finance, and various other fields. It operates in three segments: Insurance, Energy and Specialized Markets, and Financial Services. The Insurance segment focuses on the prediction of loss, selection and pricing of risk, and compliance with their reporting requirements for property and casualty customers, as well as develops machine learned and artificially intelligent models to forecast scenarios and produce standard and customized analytics that help its customers to manage their businesses, including detecting fraud before and after a loss event, and quantifying losses. The Energy and Specialized Markets segment provides data analytics for the natural resources value chain, including energy, chemicals, metals, mining, power, and renewables sectors; research and consulting services focusing on supporting customer capital allocation decisions, asset valuation and benchmarking, commodity markets, and corporate analysis; and consultancy services in the areas of business environment, business improvement, business strategies, commercial advisory, and transaction support, as well as analysis and advice on assets, companies, governments, and markets. The Financial Services segment offers benchmarking, decisioning algorithms, business intelligence, and customized analytic services to financial institutions, payment networks and processors, alternative lenders, regulators, and merchants. The company was founded in 1971 and is headquartered in Jersey City, New Jersey.",0.01567359304786242
NYQ,IT,"Gartner, Inc.","Gartner, Inc.",Technology,Information Technology Services,347.96,27497328640,1207645952,0.152,Stamford,CT,United States,16600,"Gartner, Inc. operates as a research and advisory company in the United States, Canada, Europe, the Middle East, Africa, and internationally. It operates through three segments: Research, Conferences, and Consulting. The Research segment delivers its research primarily through a subscription service that include on-demand access to published research content, data and benchmarks, and direct access to a network of research experts. The Conferences segment offers business professionals in an organization the opportunity to learn, share, and network. The Consulting segment offers market research, custom analysis, and on-the-ground support services. This segment also offers actionable solutions for IT-related priorities, including IT cost optimization, digital transformation, and IT sourcing optimization. Gartner, Inc. was founded in 1979 and is headquartered in Stamford, Connecticut.",0.01515036041112743
NMS,WTW,Willis Towers Watson Public Lim,Willis Towers Watson Public Limited Company,Financial Services,Insurance Brokers,245.06,26524803072,2209999872,-0.01,London,,United Kingdom,44000,"Willis Towers Watson Public Limited Company operates as an advisory, broking, and solutions company worldwide. It operates through two segments, Health, Wealth and Career; and Risk and Broking. The company offers actuarial support, plan design, and administrative services for traditional pension and retirement savings plans; plan management consulting, broking, and administration services for health and group benefit programs; and benefits outsourcing services. It also provides advice, data, software, and products to address clients' total rewards and talent issues. In addition, the company offers risk advice, insurance brokerage, and consulting services in the areas of property and casualty, aerospace, construction, and marine. Further, it offers investment consulting and discretionary management services to insurance and reinsurance companies; insurance consulting and technology, risk and capital management, pricing and predictive modeling, financial and regulatory reporting, financial and capital modeling, merger and acquisition, outsourcing, and business management services; wholesale insurance broking services to retail and wholesale brokers; and underwriting and capital management, capital market, and advisory and brokerage services. Additionally, the company provides primary medical and ancillary benefit exchange, and outsourcing services to active employees and retirees in the group and individual markets, as well as delivers healthcare and reimbursement accounts, including health savings accounts, health reimbursement arrangements, flexible spending accounts, and other consumer-directed accounts. The company was formerly known as Willis Group Holdings Public Limited Company and changed its name to Willis Towers Watson Public Limited Company in January 2016. Willis Towers Watson Public Limited Company was founded in 1828 and is based in London, the United Kingdom.",0.014614522437295933
NYQ,APTV,Aptiv PLC,Aptiv PLC,Consumer Cyclical,Auto Parts,97.43,26398660608,1907000064,0.263,Dublin,,Ireland,155000,"Aptiv PLC designs, manufacturers, and sells vehicle components worldwide. The company provides electrical, electronic, and safety technology solutions to the automotive and commercial vehicle markets. It operates in two segment, Signal and Power Solutions, and Advanced Safety and User Experience. The Signal and Power Solutions segment designs, manufactures, and assembles vehicle's electrical architecture, including engineered component products, connectors, wiring assemblies and harnesses, cable management products, electrical centers, and hybrid high voltage and safety distribution systems. The Advanced Safety and User Experience segment provides critical components, systems integration, and software development for vehicle safety, security, comfort, and convenience, such as sensing and perception systems, electronic control units, multi-domain controllers, vehicle connectivity systems, application software, and autonomous driving technologies. The company was formerly known as Delphi Automotive PLC and changed its name to Aptiv PLC in December 2017. Aptiv PLC was founded in 2011 and is based in Dublin, Ireland.",0.014545021002528644
NYQ,ZBH,"Zimmer Biomet Holdings, Inc.","Zimmer Biomet Holdings, Inc.",Healthcare,Medical Devices,125.58,26353215488,2393400064,-0.009,Warsaw,IN,United States,19500,"Zimmer Biomet Holdings, Inc., together with its subsidiaries, operates in the musculoskeletal healthcare business in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. The company designs, manufactures, and markets orthopaedic reconstructive products, such as knee and hip products; S.E.T. products, including sports medicine, biologics, foot and ankle, extremities, and trauma products; spine products comprising medical devices and surgical instruments; and face and skull reconstruction products, as well as products that fixate and stabilize the bones of the chest toss facilitate healing or reconstruction after open heart surgery, trauma, or for deformities of the chest. It also offers dental products that include dental reconstructive implants, and dental prosthetic and regenerative products, as well as robotic, surgical and bone cement products. The company's products and solutions are used to treat patients suffering from disorders of, or injuries to, bones, joints, or supporting soft tissues. It serves orthopedic surgeons, neurosurgeons, oral surgeons, dentists, hospitals, stocking distributors, healthcare dealers, and other specialists, as well as agents, healthcare purchasing organizations, or buying groups. The company was formerly known as Zimmer Holdings, Inc. and changed its name to Zimmer Biomet Holdings, Inc. in June 2015. Zimmer Biomet Holdings, Inc. was founded in 1927 and is headquartered in Warsaw, Indiana.",0.014519981844872966
NMS,CDW,CDW Corporation,CDW Corporation,Technology,Information Technology Services,188.2,25480587264,1975299968,0.173,Vernon Hills,IL,United States,12850,"CDW Corporation provides information technology (IT) solutions in the United States, the United Kingdom, and Canada. It operates through three segments: Corporate, Small Business, and Public. The company offers discrete hardware and software products and services, as well as integrated IT solutions, including on-premise, hybrid, and cloud capabilities across data center and networking, digital workspace, and security. Its hardware products comprise notebooks/mobile devices, network communications, desktop computers, video monitors, enterprise and data storage, and others; and software products consists of application suites, security, virtualization, operating systems, and network management. The company also provides advisory and design, software development, implementation, managed, professional, configuration, and telecom services, as well as warranties; mission critical software, systems, and network solutions; and implementation and installation, and repair services to its customers through various third-party service providers. It serves government, education, and healthcare customers; and small, medium, and large business customers. The company was founded in 1984 and is headquartered in Vernon Hills, Illinois.",0.014039184881953078
NYQ,ETR,Entergy Corporation,Entergy Corporation,Utilities,Utilities—Regulated Electric,116.79,24639420416,3622516992,0.258,New Orleans,LA,United States,12000,"Entergy Corporation, together with its subsidiaries, engages in the production and retail distribution of electricity in the United States. The company operates in two segments, Utility and Entergy Wholesale Commodities. The Utility segment generates, transmits, distributes, and sells electric power in portions of Arkansas, Louisiana, Mississippi, and Texas, including the City of New Orleans; and distributes natural gas. The Entergy Wholesale Commodities segment engages in the ownership, operation, and decommissioning of nuclear power plants; and ownership of interests in non-nuclear power plants that sell electric power to wholesale customers, as well as provides services to other nuclear power plant owners. It generates electricity through gas, nuclear, coal, hydro, and solar power sources. The company sells energy to retail power providers, utilities, electric power co-operatives, power trading organizations, and other power generation companies. The company's power plants have approximately 24,000 megawatts (MW) of electric generating capacity, which include 5,000 MW of nuclear power. It delivers electricity to 3 million utility customers in Arkansas, Louisiana, Mississippi, and Texas. The company was founded in 1913 and is headquartered in New Orleans, Louisiana.",0.013575722373287654
NYQ,VMC,Vulcan Materials Company (Holdi,Vulcan Materials Company,Basic Materials,Building Materials,184.14,24473495552,1607299968,0.377,Birmingham,AL,United States,11912,"Vulcan Materials Company, together with its subsidiaries, produces and supplies construction aggregates primarily in the United States. It operates through four segments: Aggregates, Asphalt, Concrete, and Calcium. The Aggregates segment provides crushed stones, sand and gravel, sand, and other aggregates; and related products and services that are applied in construction and maintenance of highways, streets, and other public works, as well as in the construction of housing and commercial, industrial, and other nonresidential facilities. The Asphalt Mix segment offers asphalt mix in Alabama, Arizona, California, New Mexico, Tennessee, and Texas, as well as engages in the asphalt construction paving activity in Alabama, Tennessee, and Texas. The Concrete segment provides ready-mixed concrete in California, Maryland, New Jersey, New York, Oklahoma, Pennsylvania, Texas and Virginia, and Washington D.C. The Calcium segment mines, produces, and sells calcium products for the animal feed, plastics, and water treatment industries. The company was formerly known as Virginia Holdco, Inc. and changed its name to Vulcan Materials Company. Vulcan Materials Company was founded in 1909 and is headquartered in Birmingham, Alabama.",0.013484301802086767
NYQ,EFX,"Equifax, Inc.",Equifax Inc.,Industrials,Consulting Services,199.145,24383911936,1691200000,0.017,Atlanta,GA,United States,12700,"Equifax Inc. provides information solutions and human resources business process automation outsourcing services for businesses, governments, and consumers. The company operates through three segments: Workforce Solutions, U.S. Information Solutions (USIS), and International. The Workforce Solutions segment offers employment, income, criminal history, and social security number verification services, as well as payroll-based transaction, employment tax management, and identity theft protection products. The USIS segment provides consumer and commercial information services, such as credit information and credit scoring, credit modeling and portfolio analytics, locate, fraud detection and prevention, identity verification, and other consulting; mortgage services; financial marketing services; identity management services; credit monitoring products; and online information, decisioning technology solutions, as well as portfolio management, mortgage reporting, and consumer credit information services. The International segment offers information service products, which include consumer and commercial services, such as credit and financial information, and credit scoring and modeling; and credit and other marketing products and services, as well as offers information, technology, and other services to support debt collections and recovery management. The company serves customers in financial services, mortgage, employers, consumer, commercial, telecommunication, retail, automotive, utility, brokerage, healthcare, and insurance industries, as well as state, federal, and local governments. It operates in the United States, Canada, Australia, New Zealand, India, the United Kingdom, Spain, Portugal, Argentina, Chile, Costa Rica, Ecuador, El Salvador, Honduras, Mexico, Paraguay, Peru, Uruguay, Brazil, the Republic of Ireland, Russia, Cambodia, Malaysia, Singapore, and the United Arab Emirates. The company was founded in 1899 and is headquartered in Atlanta, Georgia.",0.013434943404872947
